Expression	Value	Location	Type	
pst_MainSystemPara	gSt_systemPara (0x1FFF'82E4)	0x1fff'bc28	SystemPataSt *	
UsartData	<struct>	0x1fff'82e4	SysUsartDataSt	
ucUsartxRecvDataFlag	<array>""	0x1fff'82e4	unsigned char[4]	
[0]	'\0' (0x00)	0x1fff'82e4	unsigned char	
[1]	'\0' (0x00)	0x1fff'82e5	unsigned char	
[2]	'.' (0x01)	0x1fff'82e6	unsigned char	
[3]	'\0' (0x00)	0x1fff'82e7	unsigned char	
usUsartxRecvDataLen	<array>	0x1fff'82e8	unsigned short[4]	
[0]	0	0x1fff'82e8	unsigned short	
[1]	0	0x1fff'82ea	unsigned short	
[2]	715	0x1fff'82ec	unsigned short	
[3]	0	0x1fff'82ee	unsigned short	
ucUsartxRecvDataArr	<array>	0x1fff'82f0	char[4][800]	
[0]	<array>""	0x1fff'82f0	char[800]	
[1]	<array>""	0x1fff'8610	char[800]	
[2]	<array>"$GPTXT,01,01,02,ANTSTATUS=OPEN*2B\r\n$GNRMC,075907.000,A,2605...."	0x1fff'8930	char[800]	
[0]	'$' (0x24)	0x1fff'8930	char	
[1]	'G' (0x47)	0x1fff'8931	char	
[2]	'P' (0x50)	0x1fff'8932	char	
[3]	'T' (0x54)	0x1fff'8933	char	
[4]	'X' (0x58)	0x1fff'8934	char	
[5]	'T' (0x54)	0x1fff'8935	char	
[6]	',' (0x2C)	0x1fff'8936	char	
[7]	'0' (0x30)	0x1fff'8937	char	
[8]	'1' (0x31)	0x1fff'8938	char	
[9]	',' (0x2C)	0x1fff'8939	char	
[10]	'0' (0x30)	0x1fff'893a	char	
[11]	'1' (0x31)	0x1fff'893b	char	
[12]	',' (0x2C)	0x1fff'893c	char	
[13]	'0' (0x30)	0x1fff'893d	char	
[14]	'2' (0x32)	0x1fff'893e	char	
[15]	',' (0x2C)	0x1fff'893f	char	
[16]	'A' (0x41)	0x1fff'8940	char	
[17]	'N' (0x4E)	0x1fff'8941	char	
[18]	'T' (0x54)	0x1fff'8942	char	
[19]	'S' (0x53)	0x1fff'8943	char	
[20]	'T' (0x54)	0x1fff'8944	char	
[21]	'A' (0x41)	0x1fff'8945	char	
[22]	'T' (0x54)	0x1fff'8946	char	
[23]	'U' (0x55)	0x1fff'8947	char	
[24]	'S' (0x53)	0x1fff'8948	char	
[25]	'=' (0x3D)	0x1fff'8949	char	
[26]	'O' (0x4F)	0x1fff'894a	char	
[27]	'P' (0x50)	0x1fff'894b	char	
[28]	'E' (0x45)	0x1fff'894c	char	
[29]	'N' (0x4E)	0x1fff'894d	char	
[30]	'*' (0x2A)	0x1fff'894e	char	
[31]	'2' (0x32)	0x1fff'894f	char	
[32]	'B' (0x42)	0x1fff'8950	char	
[33]	'\r' (0x0D)	0x1fff'8951	char	
[34]	'\n' (0x0A)	0x1fff'8952	char	
[35]	'$' (0x24)	0x1fff'8953	char	
[36]	'G' (0x47)	0x1fff'8954	char	
[37]	'N' (0x4E)	0x1fff'8955	char	
[38]	'R' (0x52)	0x1fff'8956	char	
[39]	'M' (0x4D)	0x1fff'8957	char	
[40]	'C' (0x43)	0x1fff'8958	char	
[41]	',' (0x2C)	0x1fff'8959	char	
[42]	'0' (0x30)	0x1fff'895a	char	
[43]	'7' (0x37)	0x1fff'895b	char	
[44]	'5' (0x35)	0x1fff'895c	char	
[45]	'9' (0x39)	0x1fff'895d	char	
[46]	'0' (0x30)	0x1fff'895e	char	
[47]	'7' (0x37)	0x1fff'895f	char	
[48]	'.' (0x2E)	0x1fff'8960	char	
[49]	'0' (0x30)	0x1fff'8961	char	
[50]	'0' (0x30)	0x1fff'8962	char	
[51]	'0' (0x30)	0x1fff'8963	char	
[52]	',' (0x2C)	0x1fff'8964	char	
[53]	'A' (0x41)	0x1fff'8965	char	
[54]	',' (0x2C)	0x1fff'8966	char	
[55]	'2' (0x32)	0x1fff'8967	char	
[56]	'6' (0x36)	0x1fff'8968	char	
[57]	'0' (0x30)	0x1fff'8969	char	
[58]	'5' (0x35)	0x1fff'896a	char	
[59]	'.' (0x2E)	0x1fff'896b	char	
[60]	'5' (0x35)	0x1fff'896c	char	
[61]	'7' (0x37)	0x1fff'896d	char	
[62]	'7' (0x37)	0x1fff'896e	char	
[63]	'4' (0x34)	0x1fff'896f	char	
[64]	'7' (0x37)	0x1fff'8970	char	
[65]	'4' (0x34)	0x1fff'8971	char	
[66]	',' (0x2C)	0x1fff'8972	char	
[67]	'N' (0x4E)	0x1fff'8973	char	
[68]	',' (0x2C)	0x1fff'8974	char	
[69]	'1' (0x31)	0x1fff'8975	char	
[70]	'1' (0x31)	0x1fff'8976	char	
[71]	'9' (0x39)	0x1fff'8977	char	
[72]	'1' (0x31)	0x1fff'8978	char	
[73]	'8' (0x38)	0x1fff'8979	char	
[74]	'.' (0x2E)	0x1fff'897a	char	
[75]	'9' (0x39)	0x1fff'897b	char	
[76]	'0' (0x30)	0x1fff'897c	char	
[77]	'4' (0x34)	0x1fff'897d	char	
[78]	'3' (0x33)	0x1fff'897e	char	
[79]	'8' (0x38)	0x1fff'897f	char	
[80]	'2' (0x32)	0x1fff'8980	char	
[81]	',' (0x2C)	0x1fff'8981	char	
[82]	'E' (0x45)	0x1fff'8982	char	
[83]	',' (0x2C)	0x1fff'8983	char	
[84]	'1' (0x31)	0x1fff'8984	char	
[85]	'.' (0x2E)	0x1fff'8985	char	
[86]	'3' (0x33)	0x1fff'8986	char	
[87]	'0' (0x30)	0x1fff'8987	char	
[88]	',' (0x2C)	0x1fff'8988	char	
[89]	'2' (0x32)	0x1fff'8989	char	
[90]	'1' (0x31)	0x1fff'898a	char	
[91]	'2' (0x32)	0x1fff'898b	char	
[92]	'.' (0x2E)	0x1fff'898c	char	
[93]	'2' (0x32)	0x1fff'898d	char	
[94]	'4' (0x34)	0x1fff'898e	char	
[95]	',' (0x2C)	0x1fff'898f	char	
[96]	'1' (0x31)	0x1fff'8990	char	
[97]	'8' (0x38)	0x1fff'8991	char	
[98]	'0' (0x30)	0x1fff'8992	char	
[99]	'6' (0x36)	0x1fff'8993	char	
[100]	'2' (0x32)	0x1fff'8994	char	
[101]	'5' (0x35)	0x1fff'8995	char	
[102]	',' (0x2C)	0x1fff'8996	char	
[103]	',' (0x2C)	0x1fff'8997	char	
[104]	',' (0x2C)	0x1fff'8998	char	
[105]	'A' (0x41)	0x1fff'8999	char	
[106]	',' (0x2C)	0x1fff'899a	char	
[107]	'V' (0x56)	0x1fff'899b	char	
[108]	'*' (0x2A)	0x1fff'899c	char	
[109]	'0' (0x30)	0x1fff'899d	char	
[110]	'C' (0x43)	0x1fff'899e	char	
[111]	'\r' (0x0D)	0x1fff'899f	char	
[112]	'\n' (0x0A)	0x1fff'89a0	char	
[113]	'$' (0x24)	0x1fff'89a1	char	
[114]	'G' (0x47)	0x1fff'89a2	char	
[115]	'N' (0x4E)	0x1fff'89a3	char	
[116]	'V' (0x56)	0x1fff'89a4	char	
[117]	'T' (0x54)	0x1fff'89a5	char	
[118]	'G' (0x47)	0x1fff'89a6	char	
[119]	',' (0x2C)	0x1fff'89a7	char	
[120]	'2' (0x32)	0x1fff'89a8	char	
[121]	'1' (0x31)	0x1fff'89a9	char	
[122]	'2' (0x32)	0x1fff'89aa	char	
[123]	'.' (0x2E)	0x1fff'89ab	char	
[124]	'2' (0x32)	0x1fff'89ac	char	
[125]	'4' (0x34)	0x1fff'89ad	char	
[126]	',' (0x2C)	0x1fff'89ae	char	
[127]	'T' (0x54)	0x1fff'89af	char	
[128]	',' (0x2C)	0x1fff'89b0	char	
[129]	',' (0x2C)	0x1fff'89b1	char	
[130]	'M' (0x4D)	0x1fff'89b2	char	
[131]	',' (0x2C)	0x1fff'89b3	char	
[132]	'1' (0x31)	0x1fff'89b4	char	
[133]	'.' (0x2E)	0x1fff'89b5	char	
[134]	'3' (0x33)	0x1fff'89b6	char	
[135]	'0' (0x30)	0x1fff'89b7	char	
[136]	',' (0x2C)	0x1fff'89b8	char	
[137]	'N' (0x4E)	0x1fff'89b9	char	
[138]	',' (0x2C)	0x1fff'89ba	char	
[139]	'2' (0x32)	0x1fff'89bb	char	
[140]	'.' (0x2E)	0x1fff'89bc	char	
[141]	'4' (0x34)	0x1fff'89bd	char	
[142]	'2' (0x32)	0x1fff'89be	char	
[143]	',' (0x2C)	0x1fff'89bf	char	
[144]	'K' (0x4B)	0x1fff'89c0	char	
[145]	',' (0x2C)	0x1fff'89c1	char	
[146]	'A' (0x41)	0x1fff'89c2	char	
[147]	'*' (0x2A)	0x1fff'89c3	char	
[148]	'2' (0x32)	0x1fff'89c4	char	
[149]	'2' (0x32)	0x1fff'89c5	char	
[150]	'\r' (0x0D)	0x1fff'89c6	char	
[151]	'\n' (0x0A)	0x1fff'89c7	char	
[152]	'$' (0x24)	0x1fff'89c8	char	
[153]	'G' (0x47)	0x1fff'89c9	char	
[154]	'N' (0x4E)	0x1fff'89ca	char	
[155]	'G' (0x47)	0x1fff'89cb	char	
[156]	'G' (0x47)	0x1fff'89cc	char	
[157]	'A' (0x41)	0x1fff'89cd	char	
[158]	',' (0x2C)	0x1fff'89ce	char	
[159]	'0' (0x30)	0x1fff'89cf	char	
[160]	'7' (0x37)	0x1fff'89d0	char	
[161]	'5' (0x35)	0x1fff'89d1	char	
[162]	'9' (0x39)	0x1fff'89d2	char	
[163]	'0' (0x30)	0x1fff'89d3	char	
[164]	'6' (0x36)	0x1fff'89d4	char	
[165]	'.' (0x2E)	0x1fff'89d5	char	
[166]	'0' (0x30)	0x1fff'89d6	char	
[167]	'0' (0x30)	0x1fff'89d7	char	
[168]	'0' (0x30)	0x1fff'89d8	char	
[169]	',' (0x2C)	0x1fff'89d9	char	
[170]	'2' (0x32)	0x1fff'89da	char	
